species,body_mass_g,m1,m2,m3,m4,m5,m6,m7,f1,f2,f3,f4,f5,f6,f7
Adelie,2850,,,,,,,,181,184,,,,,
Adelie,2900,,,,,,,,187,178,188,,,,
Adelie,2925,,,,,,,,193,,,,,,
Adelie,3000,,,,,,,,185,192,,,,,
Adelie,3050,,,,,,,,190,186,191,188,,,
Adelie,3075,,,,,,,,183,,,,,,
Adelie,3100,,,,,,,,186,,,,,,
Adelie,3150,,,,,,,,172,182,185,187,,,
Adelie,3175,,,,,,,,181,191,,,,,
Adelie,3200,,,,,,,,182,187,189,193,,,
Adelie,3250,,,,,,,,195,178,,,,,
Adelie,3275,,,,,,,,191,,,,,,
Adelie,3300,,,,,,,,188,181,187,,,,
Adelie,3325,189,,,,,,,184,195,190,,,,
Adelie,3350,,,,,,,,195,191,189,,,,
Adelie,3400,,,,,,,,174,185,185,193,,,
Adelie,3425,182,,,,,,,187,,,,,,
Adelie,3450,,,,,,,,193,195,190,190,176,195,
Adelie,3475,187,,,,,,,184,,,,,,
Adelie,3500,198,197,,,,,,186,189,193,,,,
Adelie,3550,183,194,184,,,,,180,186,196,187,202,,
Adelie,3600,180,,,,,,,185,190,190,,,,
Adelie,3625,,,,,,,,181,,,,,,
Adelie,3650,190,185,,,,,,,,,,,,
Adelie,3700,191,,,,,,,185,190,191,190,187,,
Adelie,3725,190,,,,,,,192,,,,,,
Adelie,3750,181,194,193,,,,,199,,,,,,
Adelie,3775,199,,,,,,,,,,,,,
Adelie,3800,191,180,193,190,,,,186,189,187,187,,,
Adelie,3825,,,,,,,,198,,,,,,
Adelie,3875,202,,,,,,,,,,,,,
Adelie,3900,178,184,195,190,184,190,190,191,,,,,,
Adelie,3950,185,180,190,192,189,,,,,,,,,
Adelie,3975,200,,,,,,,,,,,,,
Adelie,4000,195,199,210,201,,,,,,,,,,
Adelie,4050,200,192,,,,,,,,,,,,
Adelie,4075,196,,,,,,,,,,,,,
Adelie,4100,188,192,,,,,,,,,,,,
Adelie,4150,196,191,197,,,,,,,,,,,
Adelie,4200,194,193,,,,,,,,,,,,
Adelie,4250,195,190,193,190,,,,,,,,,,
Adelie,4275,197,,,,,,,,,,,,,
Adelie,4300,188,205,208,195,,,,,,,,,,
Adelie,4350,196,,,,,,,,,,,,,
Adelie,4400,198,196,195,,,,,,,,,,,
Adelie,4450,198,186,,,,,,,,,,,,
Adelie,4475,199,,,,,,,,,,,,,
Adelie,4500,197,,,,,,,,,,,,,
Adelie,4600,190,191,,,,,,,,,,,,
Adelie,4650,184,,,,,,,,,,,,,
Adelie,4675,195,,,,,,,,,,,,,
Adelie,4700,196,,,,,,,,,,,,,
Adelie,4725,203,,,,,,,,,,,,,
Adelie,4775,197,,,,,,,,,,,,,
